to_translate;translation
Die Heimaufsicht ist für alle städtischen Pflege- und Behinderteneinrichtungen zuständig.;Die Heimaufsicht kümmert sich um alle städtischen Einrichtungen für Pflege und für Menschen mit Behinderungen.
Die FQA (Fachstelle für Pflege- und Behinderteneinrichtungen - Qualitätsentwicklung und Aufsicht - ehemals Heimaufsicht) ist zuständig für alle stationären Alten- und Behindertenhilfeeinrichtungen, Hospize sowie für die ambulant betreuten Wohngemeinschaften der Altenhilfe und die betreuten Wohngruppen der Behindertenhilfe in der Landeshauptstadt München.\n\nWir handeln unabhängig auf der Grundlage des gesetzlichen Auftrages und stellen den Schutz der Bewohnerinnen und Bewohner in den Einrichtungen der Alten- und Behindertenhilfe in den Mittelpunkt unserer Arbeit. Wir arbeiten qualifiziert, praxisorientiert und auf dem aktuellen Stand fachlicher Erkenntnisse.\n\nWir sind ein professionelles Team aus erfahrenen Mitarbeiterinnen und Mitarbeitern, die Ihnen gerne vertraulich in Fragen bei der pflegerischen und betreuerischen Versorgung in Einrichtungen weiterhelfen.;Die Fachstelle für Pflege- und Behinderten-Einrichtungen kümmert sich um viele Orte. Zum Beispiel um:\n\n* Orte, an denen alte Menschen leben.\n* Orte, an denen Menschen mit Behinderungen leben.\n* Orte, an denen kranke Menschen in ihren letzten Tagen leben. \n* Gruppen von alten Menschen, die zusammen wohnen und Hilfe bekommen.\n* Gruppen von Menschen mit Behinderungen, die zusammen wohnen und Hilfe bekommen.\nAll diese Orte sind in der Stadt München.\n\nWir arbeiten selber und niemand sagt uns, was wir tun sollen. \nUns ist wichtig: Den Menschen in diesen Orten muss es gut gehen. \nWir können gut arbeiten und wir wissen viel. \nWir wissen immer, was gerade wichtig ist und was richtig ist.\n\nWir sind ein Team.\nWir sind viele Leute.\nWir wissen viel und wir haben schon viele Dinge gemacht.\nWir helfen Ihnen.\nSie können uns alles fragen.\nSie können uns Dinge erzählen, die Ihnen Sorgen machen.\nSie können uns Fragen stellen über die Pflege und Betreuung in den Orten.\nWir erzählen es nicht weiter.
Wir, die Heimaufsicht,\n* beraten Bewohnerinnen und Bewohner, Angehörige und Einrichtungen\n* sorgen für die Einhaltung festgelegter Qualitätsstandards in der Pflege und Betreuung\n* suchen jede Einrichtung mehrmals im Jahr auf\n* gehen Beschwerden umgehend nach\n* führen anlassbezogene und unangemeldete Kontrollen durch;Wir sind die Heim-Aufsicht. Unsere Arbeit ist:\n\n* Wir helfen Menschen, die in den Wohn-Anlagen wohnen.\n* Wir helfen auch den Familien von diesen Menschen.\n* Und wir helfen den Wohn-Anlagen selbst.\n* Wir achten darauf, dass in der Pflege und Hilfe alles gut läuft.\n* Dafür haben wir bestimmte Regeln.\n* Wir besuchen jede Wohn-Anlage mehrere Male im Jahr.\n* Wenn uns jemand ein Problem sagt, dann schauen wir sofort nach.\n* Manchmal prüfen wir die Wohn-Anlagen. Das kann passieren, wenn dort etwas Wichtiges passiert ist.\n* Diese Prüfungen können auch überraschend sein. Die Wohn-Anlage weiß dann nicht, dass wir kommen.
Was macht die Heimaufsicht?;Die Heimaufsicht kümmert sich um Wohnheime. Zum Beispiel um Heime für alte Menschen. Oder Heime für Menschen mit Behinderung. Die Heimaufsicht prüft, ob alles gut läuft in den Heimen. Das heißt: Sie schauen, ob die Regeln eingehalten werden. Sie achten darauf, dass die Bewohner gut versorgt sind. Und dass sie gut behandelt werden. Die Heimaufsicht ist also wie eine Kontrolle. Sie sorgt dafür, dass es den Menschen in den Heimen gut geht.
Die Heimaufsicht ist ein professionelles Team aus erfahrenen Mitarbeiterinnen und Mitarbeitern, die Ihnen gerne vertraulich in Fragen bei der pflegerischen und betreuerischen Versorgung in Einrichtungen weiterhelfen.;Die Heimaufsicht ist eine Gruppe von Leuten, die viel Wissen haben. Diese Gruppe hilft Ihnen. Sie sprechen mit Ihnen und niemand sonst erfährt davon. Es geht um Hilfe in Pflege-Häusern und Betreuungs-Häusern.
Mitglieder, Ausschüsse, Themen und Termine: Die Vertretungen der 25 Münchner Stadtbezirke stellen sich vor.;Menschen, Gruppen, Themen und Tage: Die 25 Teile von München sagen: Das sind wir.
Was macht ein Bezirksausschuss?;Ein Bezirksausschuss ist eine Gruppe von Menschen.\nDiese Menschen arbeiten für einen Stadtteil.\nSie treffen Entscheidungen, die für den Stadtteil wichtig sind.\nZum Beispiel: Wo ein neuer Spielplatz gebaut wird.\nOder wie die Straßen sauber gehalten werden.\nSo hilft der Bezirksausschuss dabei, dass es den Menschen in ihrem Stadtteil gut geht.
Möglichkeiten der Mitbestimmung\n\nIn den Bezirksausschüssen kann im Einzelfall entschieden werden, wie Straßen, Plätze, Fußgängerbereiche, öffentliche Grünflächen oder Spiel- und Sportplätze gestaltet werden sollen und wo Erholungsflächen und Freizeitzentren sowie Sozial- und Kultureinrichtungen im Stadtviertel fehlen. Die Bezirksausschüsse sind auch zuständig für die Benennung von Straßen und Plätzen im Stadtbezirk, soweit damit keine persönlichen Ehrungen verbunden sind.\n\nDie Stadtteil-Parlamente prüfen, wo Wochenmärkte eingerichtet oder umgestaltet werden sollen, wo Litfaßsäulen und andere Werbeanlagen errichtet werden können. Auch die stadtviertelbezogene Planung von Fuß- und Radwegen wurde auf die Bezirksausschüsse übertragen. Ebenso kümmern sie sich um das Stadtteilkulturprogramm, die Organisation und Durchführung von Stadtteilfesten und Kulturveranstaltungen. Die Bezirksausschüsse fördern und pflegen die Stadtteilgeschichte und entscheiden über die erstmalige Gewährung von Zuschüssen für Vereine und soziale Initiativen im Stadtviertel. Die Entscheidungskompetenz der Bezirksausschüsse umfasst darüber hinaus auch Projektaufträge bei städtischen Hoch- und Tiefbaumaßnahmen mit einer Bausumme von über 0,5 Mio. Euro bis 2,5 Mio. Euro.\n\n2007 erhielten die Bezirksausschüsse vom Oberbürgermeister die Vollmacht, auch über bestimmte so genannte Angelegenheiten der laufenden Verwaltung zu entscheiden. Dazu gehören die Bewilligung von Zuschüssen aus dem Stadtbezirksbudget bis 25.000 Euro und die Nutzungsüberlassung von städtischen Grundstücken für Festzelte oder Bürgerfeste ebenso wie Sperrstundenänderungen und die Genehmigung von Freischankflächen. In ihren Entscheidungsbereich fallen die Sondernutzungserlaubnis für Verkaufsstände und Werbetafeln, die Festlegung von Taxistandplätzen und Ladezonen sowie die Standorte von Schildern und Parkscheinautomaten in Parklizenzgebieten oder von Infosäulen und Sammelhinweisanlagen.\n\nDie Entscheidungskompetenz der Bezirksausschüsse betrifft auch die Aufstellung von Maibäumen, Feldkreuzen, von mobilen Fahrradständern oder von einzelnen Masten der Straßenbeleuchtungen. Und schließlich entscheiden sie über Projektplanung und Ausbau von Straßen und Plätzen bis 500.000 Euro sowie über Bedarf und Projektauftrag städtischer Baumaßnahmen im Stadtbezirk mit Kosten zwischen 250.000 und 500.000 Euro (ausgenommen Baureferat). Vorbereitung und Vollzug auch dieser Beschlüsse erfolgen durch die Verwaltung.;Mitbestimmung bei uns im Ort\n\nBezirks-Ausschüsse können bei uns mitbestimmen.\nSie können entscheiden, wie wir unsere Straßen, Plätze, Fußgängerwege, Parkflächen oder Spiel- und Sportplätze machen sollen.\nSie finden auch heraus, wo wir Freizeit-Zentren, Soziale Einrichtungen und Kultur-Stätten brauchen.\nDie Bezirks-Ausschüsse geben den Straßen und Plätzen bei uns im Stadtteil auch Namen.\n\nUnser Stadtteil-Parlament schaut auch, wo wir Wochenmärkte bauen oder ändern sollen.\nSie finden Plätze, wo Werbe-Anlagen gemacht werden können.\nSie planen auch Wege für Fußgänger und Radfahrer.\nDie Bezirks-Ausschüsse kümmern sich auch um Kultur-Programme in unserem Stadtteil.\nSie planen Stadtteil-Feste und Kultur-Veranstaltungen.\nSie sorgen dafür, dass wir die Geschichte unseres Stadtteiles nicht vergessen.\nUnd sie entscheiden, ob Vereine und soziale Gruppen im Stadtteil Geld bekommen sollen.\n\nWenn die Stadt Hoch- und Tiefbau-Projekte mit Kosten zwischen 500.000 und 2.500.000 Euro macht, ist das Stadtteil-Parlament auch dabei.\nSeit 2007 können die Bezirks-Ausschüsse auch über andere Dinge entscheiden.\nZum Beispiel, ob Vereine und Gruppen bis zu 25.000 Euro bekommen sollen.\nOder ob es Plätze für Zelte oder Stadtteil-Feste geben soll.\n\nDie Bezirks-Ausschüsse können auch über andere Dinge entscheiden.\nZum Beispiel, wo Verkaufsstände und Werbe-Tafeln stehen dürfen.\nSie können auch sagen, wo Taxi-Stände und Ladezonen sein sollen.\nUnd sie können sagen, wo Schilder und Parkautomaten in Park-Zonen stehen sollen.\n\nDie Bezirks-Ausschüsse können auch über andere Dinge entscheiden.\nZum Beispiel, wo Maibäume, Feldkreuze, Fahrradständer und Straßenlampen stehen sollen.\nUnd sie entscheiden, wie wir Straßen und Plätze bis 500.000 Euro machen.\nUnd sie sind dabei, wenn die Stadt Bau-Projekte in unserem Stadtteil mit Kosten zwischen 250.000 und 500.000 Euro macht.
Welche Bezirksausschüsse gibt es?;Welche Rats-Gruppen gibt es in den Stadt-Teilen?
Geld für die Wünsche der Bürger*innen\nDer Spielplatz um die Ecke könnte dringend eine neue Rutsche gebrauchen? Der Park in der Nähe wäre mit mehr Mülleimern sicher sauberer? Oder in Ihrer Straße fehlt es an Fahrradständern?\n\nKleinere Maßnahmen, mit denen sich das Leben im eigenen Viertel verbessern lässt, können alle Menschen in München ganz einfach erreichen. Mit dem Stadtbezirksbudget stehen den Bezirksausschüssen rund vier Millionen Euro zur Verfügung, um auf Anregungen der Stadtviertel-Bewohner*innen einzugehen. Das Geld für Bürger*innen-Projekte oder Zuschüsse für Veranstaltungen im Viertel können Bürger*innen ebenso wie Vereine, und Initiativen beantragen.\nWofür gibt es Geld?\n\nMit den Geldern aus dem Stadtbezirksbudget können die Bezirksausschüsse der 25 Münchner Stadtbezirke städtische Leistungen für Ihr Viertel bestellen oder Bürger*innen-Projekte fördern.\nZuschüsse für Projekte und Initiativen\nZuschüsse für eigene Bürger*innen-Projekte müssen Sie mindestens 6 Wochen vor Beginn mit dem Antragsformular bei der Abteilung für Bezirksausschussangelegenheiten im Rathaus beantragen. Über den Zuschuss entscheidet der zuständige Bezirksausschuss.;Das wäre in leichter Sprache: Geld für die Wünsche der Menschen\n\nSie finden: Der Spielplatz in Ihrer Nähe braucht eine neue Rutsche? Oder es sollte mehr Mülleimer im Park geben? Oder es fehlen Fahrrad-Ständer in Ihrer Straße?\n\nWenn Sie solche Ideen haben, können Sie diese in München umsetzen. Die Bezirksausschüsse haben Geld dafür. Sie können damit Wünsche von Menschen im Stadt-Viertel umsetzen. Jeder Mensch in München kann dieses Geld beantragen. Auch Vereine und Gruppen können das machen.\n\nWofür gibt es das Geld?\n\nMit dem Geld können die Bezirksausschüsse Sachen für das Stadt-Viertel kaufen. Oder sie unterstützen Projekte von den Menschen im Viertel.\n\nZuschüsse für Projekte und Aktionen\n\nWenn Sie einen Zuschuss für Ihr eigenes Projekt möchten, müssen Sie das beantragen. Sie müssen den Antrag mindestens 6 Wochen vor Beginn abgeben. Den Antrag geben Sie bei der Abteilung für Bezirksausschuss-Sachen im Rathaus ab. Der Bezirksausschuss in Ihrem Viertel entscheidet dann über den Zuschuss.
Zum Ablauf einer Bürgerversammlung\nDie Bürgerversammlungen werden vom Oberbürgermeister, der 2. oder 3. Bürgermeisterin oder einem Stellvertreter/einer Stellvertreterin aus dem Stadtrat geleitet. Auch der zuständige Bezirksausschuss ist durch seine/-n Vorsitzende/-n vertreten und hält, ebenso wie die zuständige Polizei, einen kurzen Bericht. Nach dieser Präsentation der wichtigsten Entwicklungen im Stadtviertel können die Anwohner*innen ihre Fragen, Anregungen und Anliegen zu Stadtteilthemen vortragen und auch eigene Anträge stellen.\nStimmt die Versammlung einem Bürgerantrag mehrheitlich zu, muss er innerhalb von drei Monaten dem Stadtrat oder dem Bezirksausschuss zur weiteren Behandlung vorgelegt werden.\n\nZweck und Aufgabe der Bürgerversammlungen ist die gegenseitige Unterrichtung von Bürgerschaft und Verwaltung, sowie die Einflussnahme der im Stadtbezirk wohnenden Bürger*innen auf und ihre Mitsprache bei Entscheidungen der Stadtverwaltung, die sich in ihrem Stadtbezirk auswirken. Die Stadtverwaltung nimmt die Gelegenheit zum direkten Kontakt und Dialog mit den Münchner*innen sehr gerne wahr.\n\nZu aktuellen Themen im Stadtteil stehen Mitarbeiter*innen aus der Stadtverwaltung als Ansprechpartner*innen zur Verfügung.\n\nBei der Bürgersprechstunde, die von 18 Uhr bis zum Beginn der Bürgerversammlung um 19 Uhr stattfindet, können Sie darüber hinaus mit Vertreter*innen Ihres Bezirksausschusses, der Polizei, des Seniorenbeirats und der Stadtverwaltung persönlich sprechen.\n\nNutzen Sie diese Gelegenheit zur Kontaktaufnahme mit Ihrer Stadtverwaltung München und besuchen Sie die Bürgerversammlung in Ihrem Stadtbezirk!;Zum Ablauf eines Treffens mit den Bürgern und Bürgerinnen:\n\nDas Treffen mit den Bürgern und Bürgerinnen macht der Bürgermeister.\nOder die Bürgermeisterin Nummer 2 oder Nummer 3.\nOder eine andere Person aus dem Stadtrat.\nAuch die Vorsitzende oder der Vorsitzende vom Bezirks-Ausschuss ist da.\nUnd auch die Polizei ist da.\nSie sagen kurz was wichtig ist im Stadt-Teil.\nDanach können die Leute Fragen stellen.\nUnd sie können sagen, was sie denken.\nZum Beispiel was anders besser ist.\nUnd sie können Anträge machen.\n\nWenn die meisten Leute beim Treffen einem Antrag zustimmen:\nDann muss man den Antrag in den nächsten 3 Monaten dem Stadtrat oder dem Bezirks-Ausschuss geben. \nDort wird der Antrag noch einmal besprochen.\n\nDas Treffen ist dazu da, dass die Leute und die Verwaltung sich austauschen.\nUnd die Leute, die im Stadt-Bezirk wohnen, können bei Entscheidungen mitreden.\nEs geht dabei um Entscheidungen, die für ihren Stadt-Bezirk wichtig sind.\nDie Verwaltung findet es gut, dass sie mit den Leuten reden kann.\n\nEs gibt Mitarbeiter und Mitarbeiterinnen von der Verwaltung.\nMit ihnen können die Leute über wichtige Themen im Stadt-Teil reden.\n\nVon 18 Uhr bis 19 Uhr gibt es eine Sprech-Stunde.\nDa können die Leute mit Vertreterinnen und Vertretern vom Bezirks-Ausschuss, der Polizei, dem Senioren-Beirat und der Verwaltung persönlich sprechen.\n\nKommen Sie zum Treffen mit den Bürgern und Bürgerinnen in Ihrem Stadt-Bezirk!\nNutzen Sie die Gelegenheit und reden Sie mit der Verwaltung von München.
Wie kann ich meinen Bezirksausschuss erreichen?;Wie kann ich Kontakt zu meinem Stadtteil-Rat haben?
Der Behindertenbeirat ist die Interessensvertretung für Menschen mit Behinderung und berät die Landeshauptstadt München zur Teilhabe und Inklusion.;Der Behinderten-Beirat ist eine Gruppe. Die Gruppe ist für die Menschen da, die eine Behinderung haben. Die Gruppe gibt der Stadt München Tipps. Zum Beispiel, wie Menschen mit Behinderung genauso an Dingen teil-haben können wie andere Menschen. Und wie alle Menschen zusammen leben können. Das nennt man auch Inklusion.
Interessenvertretung von Menschen mit Behinderungen\nBehindertenbeirat der Landeshauptstadt München\nDer Behindertenbeirat ist vom Stadtrat beauftragt, die Interessen von Menschen mit Behinderung in München zu vertreten und den Stadtrat und die Stadtverwaltung zu beraten. Dem Gremium gehören Vertreter*innen des Stadtrates, der Wohlfahrtsverbände und der Stadtverwaltung, zahlreiche Betroffene, der Behindertenbeauftragte sowie engagierte Bürger*innen an.\n\nDer Behindertenbeirat arbeitet derzeit in acht Facharbeitskreisen zu den Themen:\n* Ambulante Unterstützungsangebote\n* Arbeit\n* Frauen\n* Freizeit und Bildung\n* Mobilität\n* Schule\n* Tourismus\n* Wohnen\n\nAlle Interessierten können in diesen Arbeitskreisen mitwirken. Einmal jährlich findet eine öffentliche Vollversammlung statt.;Behinderten-Rat von München\n\nDer Behinderten-Rat ist eine Gruppe von der Stadt München. Die Gruppe hilft Menschen mit Behinderung in München. Sie gibt der Stadt Tipps und spricht für die Interessen von Menschen mit Behinderung. Im Behinderten-Rat arbeiten viele verschiedene Leute zusammen: Leute vom Stadtrat, Leute von Hilfs-Verbänden, Leute von der Stadt, Menschen mit Behinderung, der Beauftragte für Menschen mit Behinderung und freiwillige Helfer und Helferinnen.\n\nDer Behinderten-Rat hat 8 Arbeits-Gruppen. Jede Gruppe arbeitet zu einem anderen Thema: Hilfe im Alltag, Arbeit, Frauen, Freizeit und Lernen, Bewegung in der Stadt, Schule, Tourismus und Wohnen.\n\nJeder kann in den Arbeits-Gruppen mitmachen. Jedes Jahr gibt es eine große Versammlung. Da können alle hinkommen.
Was macht der Behinderten-Beirat?;Was tut der Beirat für Menschen mit Behinderungen?
Der Migrationsbeirat vertritt seit über 40 Jahren ehrenamtlich die politischen Interessen von Münchnerinnen und Münchnern ohne deutschen Pass.;Der Rat für Menschen aus anderen Ländern setzt sich seit mehr als 40 Jahren kostenlos für die Wünsche von Menschen aus München ein, die keinen deutschen Pass haben.
Der Migrationsbeirat vertritt seit über 40 Jahren ehrenamtlich die politischen Interessen von Münchnerinnen und Münchnern ohne deutschen Pass. Seine Aufgabe ist es dabei, den Stadtrat und die Verwaltung in allen Fragen, die die ausländische Bevölkerung in München betrifft, zu beraten. Darüber hinaus engagiert er sich öffentlich für die politische, rechtliche, soziale und kulturelle Gleichstellung von Deutschen und Nichtdeutschen. In der monatlichen Sprechstunde der Vorsitzenden des Migrationsbeirates haben alle Bürgerinnen und Bürger die Möglichkeit, Fragen zum Zusammenleben der unterschiedlichen Bevölkerungsgruppen in München zu erörtern.\n\nAusländische und interkulturell orientierte Vereine, Gruppen und Initiativen in München können beim Migrationsbeirat Zuschussmittel für Integrationsveranstaltungen zu beantragen.;Der Migrations-Rat ist ein Gruppe Leute. Diese Leute machen das als Hobby. Schon mehr als 40 Jahre lang. Diese Leute helfen Menschen in München, die keinen deutschen Pass haben. Diese Leute reden mit der Stadt und den Menschen, die die Stadt regieren. Sie helfen, wenn es um Sachen geht, die für Menschen ohne deutschen Pass wichtig sind. Sie wollen, dass alle Menschen gleich behandelt werden. Menschen mit und ohne deutschen Pass. Zum Beispiel in der Politik, mit Gesetzen, in der Gesellschaft und in der Kultur.\n\nDie Chefin oder der Chef vom Migrations-Rat spricht einmal im Monat mit den Menschen. Bei dieser Sprech-Stunde können alle Menschen kommen. Sie können Fragen stellen. Zum Beispiel: Wie können verschiedene Gruppen von Menschen in München gut zusammen leben?\n\nIn München gibt es viele Vereine, Gruppen und Menschen, die sich treffen. Sie kommen aus verschiedenen Ländern. Oder sie wollen sich mit anderen Kulturen beschäftigen. Diese Vereine, Gruppen und Menschen können Geld vom Migrations-Rat bekommen. Das Geld ist für Feiern und Treffen. Bei diesen Treffen geht es darum: Wie können Menschen aus verschiedenen Ländern gut zusammen leben.
Was ist der Migrationsbeirat?;Was ist der Beirat für Leute, die von einem anderen Land hierher gekommen sind?.
Was will der Migrationsbeirat?;Was will der Rat für Menschen die aus anderen Ländern kommen?
Was bedeutet Migration?;Was ist das, wenn Menschen von einem Ort zu einem anderen Ort ziehen? Das nennt man Migration.
Was macht der Migrationsbeirat?;Was tut der Rat für Menschen, die aus einem anderen Land gekommen sind?
Wie kann ich den Migrationsbeirat erreichen?;Wie kann ich mit dem Rat für Menschen, die aus anderen Ländern kommen, sprechen?
Der Seniorenbeirat tritt für die Interessen von mehr als 300.000 Menschen in München über 60 in Gesellschaft und Politik ein.;Der Senioren-Rat kümmert sich um die Wünsche von über 300.000 älteren Menschen in München. Diese Menschen sind älter als 60 Jahre. Der Rat hilft ihnen in der Gesellschaft und in der Politik.
Was ist die Seniorenvertretung?;Was ist eine Vertretung für ältere Menschen?
Die Seniorenvertretung ist seit dem Gründungsjahr 1978 aktiver Bestandteil der Kommunalpolitik Münchens und somit eine der ältesten Seniorenvertretungen bundesweit. Sie ist ein parteiunabhängiges und ehrenamtliches Gremium, das von Münchner*innen, die 60 Jahre oder älter sind, gewählt wird.;Die Senioren-Gruppe gibt es seit 1978. Sie macht seitdem Politik in München. Das ist eine sehr alte Senioren-Gruppe in Deutschland. Die Gruppe arbeitet unabhängig von Parteien. Und alle arbeiten ohne Geld. Die Gruppe wird gewählt. Gewählt werden kann jeder, der älter als 60 Jahre ist. Auch die Wähler müssen älter als 60 Jahre sein.
Der Seniorenbeirat ist das Beratungs- und Beschlussorgan der Seniorenvertretung. Er setzt sich aus den Kandidat*innen mit der höchsten Stimmenzahl jedes Stadtbezirks zusammen hat aktuell 31 Mitglieder einschließlich sechs zusätzlichen Mitgliedern mit ausländischer Nationalität wirkt in Gremien der Politik und Verwaltung mit beschäftigt sich mit der Gesundheits-, Pflege- und Rentenpolitik betrachtet Themen wie Sicherheit und Wohnen aus dem Blickwinkel der älteren Bevölkerung.;Das ist der Rat von den älteren Menschen. Er ist da, um zu beraten und zu entscheiden. Er besteht aus den Personen, die in jedem Stadt-Teil die meisten Stimmen bekommen haben. Aktuell sind das 31 Personen. Darunter sind auch 6 Personen aus anderen Ländern. Sie arbeiten in Gruppen von Politik und Verwaltung mit. Sie kümmern sich um Sachen wie Gesundheit, Pflege und Alters-Geld. Sie schauen sich auch Themen wie Sicherheit und Wohnen an, und denken dabei an die ältere Bevölkerung.
Was will der Seniorenbeirat?;Was möchte der Rat von den älteren Menschen?
Was macht die Seniorenvertretung?;Was ist die Arbeit von der Gruppe für ältere Menschen?
Hauptanliegen der Seniorenvertretung ist, die Interessen und Belange der Senior*innen in den Stadtbezirken Münchens zu vertreten und zu wahren. Sie agiert als Lotsin zwischen älteren Menschen und Stadtrat, Stadtverwaltung, sozialen Verbänden und Einrichtungen bietet regelmäßige Sprechstunden zur Information und Beratung älterer Menschen über Hilfsangebote in München an organisiert Veranstaltungen im Bereich Kultur und Soziales und vieles mehr.;Die Seniorenvertretung möchte, dass es den älteren Menschen in den Stadtteilen von München gut geht. Sie kämpft dafür, dass ihre Wünsche und Bedürfnisse wichtig sind. Sie hilft den älteren Menschen, den Stadtrat, die Stadtverwaltung und andere wichtige Gruppen zu verstehen. Sie gibt den älteren Menschen Infos und Tips. Und sie hilft, wenn die älteren Menschen Fragen haben. Die Seniorenvertretung macht viele Sachen. Zum Beispiel: Sie macht Feste und Treffen. Dort kann man andere Leute treffen und Spaß haben. Und sie macht noch vieles mehr.
Wie kann ich den Seniorenbeirat erreichen?;Wie komme ich mit dem Beirat für ältere Menschen in Kontakt?
Koordinierungsstelle LGBTIQ*\nMünchen mag dich – Angebote für Lesben, Schwule, Bisexuelle, trans*, inter* und queere Menschen.;Stelle für LGBTIQ* in München\n\nMünchen mag dich - Angebote für Frauen, die Frauen lieben, Männer, die Männer lieben, Menschen, die beide Geschlechter lieben, Menschen, die sich nicht mit ihrem Geburtsgeschlecht identifizieren, Menschen mit beiden Geschlechtern oder keinem Geschlecht und Menschen, die sich anders fühlen.
Über die Koordinierungsstelle LGBTIQ*\nDie Koordinierungsstelle fördert die Gleichstellung und Antidiskriminierung von Lesben, Schwulen, Bisexuellen, trans*, inter* und queeren Menschen.;Die Aufgabe von der Stelle ist: Sie hilft, dass alle gleich behandelt werden. Sie will nicht, dass Menschen wegen ihrer sexuellen Orientierung oder Geschlechtsidentität schlecht behandelt werden. Diese Menschen können zum Beispiel lesbisch oder schwul sein. Oder sie fühlen sich als Mann und Frau zugleich. Oder sie fühlen sich als Frau, obwohl sie als Mann geboren wurden. Und andersrum. Es gibt auch Menschen, die sich keinem Geschlecht zuordnen wollen. All diese Menschen werden hier unterstützt.
Was ist die Koordinierungsstelle zur Gleichstellung von LGBTIQ*?;Die Koordinierungsstelle ist ein Ort, der dafür sorgt, dass alle Menschen gleich behandelt werden. Egal ob sie lesbisch, schwul, bi, trans, inter oder queer sind. Diese Wörter werden oft mit den Buchstaben LGBTIQ* abgekürzt.
Wofür steht LGBTIQ*?;LGBTIQ* ist eine Abkürzung.\nSie steht für verschiedene Geschlechter und für verschiedene Lieben.\n\nL steht für Lesben.\nDas sind Frauen, die Frauen lieben.\n\nG steht für Schwule.\nDas sind Männer, die Männer lieben.\n\nB steht für Bisexuelle.\nDas sind Menschen, die Männer und Frauen lieben.\n\nT steht für Trans-Personen.\nDas sind Menschen, die sich anders fühlen, als bei der Geburt bestimmt wurde.\nZum Beispiel:\nEin Mensch kam als Mädchen zur Welt.\nAber er fühlt sich wie ein Mann.\n\nI steht für Intersexuelle.\nDas sind Menschen, die nicht nur männlich oder weiblich sind.\nSie haben Merkmale von beiden Geschlechtern.\n\nQ steht für Queer.\nDas sind Menschen, die sich nicht genau in die anderen Gruppen einordnen können oder wollen.\nSie sind anders und stolz darauf.\n\nDas Sternchen * am Ende bedeutet:\nEs gibt noch mehr Arten zu lieben und Geschlechter.\nSie sind auch alle wichtig und wertvoll.
Was will die Koordinierungsstelle?;Was möchte die Stelle, die alles organisiert?
Was macht die Koordinieerungsstelle?;Was macht die Stelle, die alles plant und ordnet?
Wie kann ich die Koordinierungs-Stelle erreichen?;Wie kann ich die Stelle, die alles organisiert, erreichen?
Die Gleichstellungsstelle wirkt auf die Gleichstellung von Frauen und Männern in Beruf, Familie und Gesellschaft hin.;Die Aufgabe der Gleichstellungsstelle ist es, dafür zu sorgen, dass Frauen und Männer die gleichen Chancen haben. Das gilt für die Arbeit, die Familie und das Leben in der Gemeinschaft.
Die Gleichstellungsstelle für Frauen wurde 1985 durch Stadtratsbeschluss eingerichtet, arbeitet weisungsfrei und ist direkt dem Oberbürgermeister unterstellt. Sie hat den Auftrag, auf die Gleichstellung von Frauen und Männern in Beruf, Familie und Gesellschaft hinzuwirken und an der Entwicklung einer frauen- und geschlechtergerechten kommunalen Infrastruktur mitzuarbeiten. Sie berät Bürgerinnen und Bürger, Beschäftigte und auch die Referate der Stadt München in Fragen der Gleichberechtigung und bei der Umsetzung der Gleichstellung.;Im Jahr 1985 haben Leute in der Stadtverwaltung entschieden: Es gibt eine Stelle nur für Frauen. Diese Stelle hilft Frauen. Sie arbeitet selbstständig. Und der Oberbürgermeister ist ihr Chef. \n\nIhre Aufgabe ist: Sie soll dafür sorgen, dass Männer und Frauen gleichgestellt sind. Im Beruf, in der Familie und in der Gesellschaft. Sie hilft dabei, dass es in der Stadt genug Unterstützung für Frauen und Männer gibt.\n\nDiese Stelle gibt auch Ratschläge. Sie hilft allen Bürgern und Bürgerinnen. Sie hilft auch den Leuten, die für die Stadt München arbeiten. Sie gibt Ratschläge, wie man Männer und Frauen gleichstellen kann.
Was bedeutet Gleichstellung?;Was heißt Gleichstellung?\n\nGleichstellung bedeutet, dass alle Menschen die gleichen Rechte haben. Egal ob sie Mann oder Frau sind. Egal ob sie eine Behinderung haben oder nicht. Alle dürfen gleich behandelt werden. Niemand darf benachteiligt werden.
Was will die Gleichstellungsstelle für Frauen?;Was möchte die Stelle für gleiche Rechte für Frauen?
Was macht die Gleichstellungsstelle für Frauen?;Was macht die Stelle für gleiche Rechte von Frauen?
Wie kann ich die Gleichstellungsstelle für Frauen erreichen?;Wie komme ich zur Stelle für Frauen-Gerechtigkeit?
